Room,Desk_Number,Serials_File1,Serials_File2
,3024,"V305MNW1, V90CBZYZ",
,3025,"V305WA92, V305WAAY",
,3026,"V305WA9X, V90C0NB9",
,3027,"V305WAA3, V90C0MXN",
,3028,"V306V6AD, V307R85K",
,3029,"V305PWWX, V90C0FHL",
,3030,"V305MNWA, V90C0FBX",
,3031,"V305MNWD, V90C0NB4",
,3032,"V305PWWY, V305WA9H",
,3033,"V3066FP1, V90C0N5W",
,3034,"V307PYXX, V90C0NAX",
,3035,"V305PXF7, V90C0NCP",
,3036,"V307PW5M, V307R74W",
,3037,"V305WAA2, V90C0NDG",
,3038,"V306V680, V90C0NAN",
,3039,"V30A8XCN, V90C0NCX",
,3040,"V90C0NDF, VTK44272",
,3041,"V305PWXP, V90C0NCW",
,3042,"V306V7WD, V90C0NCR",
,3043,V307R77L,
,3044,V307R77Y,
,3045,V90C0ND4,
,3046,V307R761,
,3047,"V307R76D, V90C0ND1",
,3048,"V90C0NCE, VTK61035",
,3049,V307R76H,
,3050,V307R77N,
,3051,VTK61350,
,3052,"V305MNKZ, V90C0NB2",
,3053,"V307R76C, V90C0NCK",
,3054,V305FCD9,
,3055,V305PXDY,
,3056,V305FCDX,
,3057,"V307PVW0, V90C0NAR",
,3058,"V305MNLT, V90C0NAY",
,3059,V307R786,
,3060,V305WA9V,
,3061,V305MNLF,
,3062,V307R7AT,
,3063,V306V694,
,3064,V305PWWV,
,3065,V307R74H,
,3066,"V307R7BW, V90C0ND2",
,3067,V307R7BZ,
,3068,V307R85Z,
,3069,V90C0NB1,
,3070,V307R85W,
,3071,"V305N1FG, V307R7B1",
,3072,V307R7BY,
,3073,"V305PZPC, V307R6Y3",
,3074,V305MNVX,
,3075,V305PWW8,
,3076,"V305MNKP, V90C0NAZ",
,3077,"V305FCDP, V90C0NE8",
,3078,"V90C0NCN, VTK44262",
,3079,V3066FRR,
,3080,VTK61351,
,3081,V305WA90,
,3082,VTK71826,
,3083,"V307R77T, VNA3VWPN",
,3084,V3066FPB,
,3085,"V305MNLR, V305MNM0",
,3086,V305PWXC,
,3087,"V305PXBK, V90C0ND5",
,3088,V306V684,
,3089,"V306V7T0, V30A8XBW",
,3090,VTK61041,
,3091,"V305FCDH, V305PWXV",
,3092,V305MNLD,
,3093,"V305PXBP, V305WAAD",
,3094,"V306V6CH, V90C0FKM",
,3095,"V305PWX6, V3066GNZ",
,3096,"V307PW9A, V307R769",
,3097,"V305PWXW, V90C0NCV",
,3098,"V305FCD3, V90C0NCC",
,3099,"V305PXDZ, V90C0NCD",
,3100,"V305PWXR, V90C0NE9",
,3101,"V305MNW5, V90BY8ZE",
,3102,V90C0NCH,
,3103,"V305WAA6, V90C0NCB",
,3104,"V307PW5H, V90C0NE7",
,3105,"V305N17T, V90BY8Z8",
,3106,"V30AR3Y4, V90C0NE6",
,3107,V90BY8ZT,
,3108,V90C0NE3,
,3109,"V3066GNA, V306V6B1",
,3110,"V307R7BN, VNA3MXG4",
,3111,"V307R6Y4, V90BY8ZL",
,3112,V90BY8Z2,
,3113,"V30AR3Y1, V90BY8YV",
,3114,"V305WA9M, V90C0NDZ",
,3115,"V305WA97, V90BY8ZN",
,3116,"V306V68H, V306V6B2",
,3117,"V307R7AK, V90C0NDC",
,3118,V30A8XBY,
,3119,"V305PWW0, V90BY8ZA",
,3120,"V305WA9A, V90C0ND6",
,3121,"V307PY6L, V90BY8ZK",
,3122,"V306V6C4, V90BY8ZP",
,3123,"V307PYPA, V90BY8YY",
,3124,"V306V687, V90BY8ZM",
,3125,"V90C0NCF, VNA3V2PZ",
,3126,"V90C0NCZ, VTK61344",
,3127,"V307R75D, V90BY8Z7",
,3128,"V305WA9N, V90BY8Z1",
,3129,"V3066GNR, V90BY8YZ",
,3130,"V90C0NB7, V90C0NCM",
,3131,"V90BY8ZF, V90C0NDB",
,3132,"V307PYXH, V90C0ND9",
,3133,"V305PWW4, V90C0NCY",
